displacement_type,combined_type,month,duration_days,latitude,longitude,year,region,is_large_event
Disaster,Drought,1,6,2.48537,44.00688,2026,Bay,0
Disaster,Drought,1,6,8.652145,48.953385,2026,Other,0
Disaster,Drought,1,6,7.482305,48.70007,2026,Other,0
Disaster,Drought,1,6,8.27063,48.364655,2026,Mudug,0
Disaster,Drought,1,6,2.5117103,41.8630909,2026,Other,0
Disaster,Drought,1,6,2.81513,42.84011,2026,Bay,0
Disaster,Drought,1,6,3.80315,42.54417,2026,Gedo,0
Disaster,Drought,1,6,2.40941,42.97458,2026,Bay,0
Disaster,Drought,1,6,3.81645,43.43285,2026,Bakool,0
Disaster,Drought,1,6,0.52732,42.03326,2026,Lower Juba,0
Disaster,Drought,1,6,0.803975,41.875375000000005,2026,Middle Juba,1
Disaster,Drought,1,6,2.77162245,42.3220254,2026,Other,0
Disaster,Drought,1,6,9.28238,46.49009,2026,Other,0
Disaster,Drought,1,6,0.89444,42.26349,2026,Lower Juba,0
Disaster,Drought,1,6,2.96448,43.244955,2026,Bay,0
Disaster,Drought,1,6,4.24328,43.21162,2026,Bakool,0
Disaster,Drought,1,6,10.381885,47.028245,2026,Sanaag,0
Disaster,Drought,1,6,-0.1442449999999999,42.645165000000006,2026,Lower Juba,0
Conflict,Conflict,1,6,0.617785,42.421375,2026,Lower Juba,0
Disaster,Drought,1,6,8.460655,48.699965,2026,Bari,1
Disaster,Drought,1,6,7.840899999999999,48.12075,2026,Bari,0
Disaster,Drought,1,6,7.1623,47.50633,2026,Bari,0
Disaster,Drought,1,6,10.602505,49.814965,2026,Bari,0
Disaster,Drought,1,6,0.63383,42.742885,2026,Middle Juba,0
Disaster,Drought,1,6,7.78224,48.74193,2026,Other,0
Disaster,Drought,1,6,0.06968,42.74497,2026,Lower Juba,1
Disaster,Drought,1,6,7.482305,48.70007,2026,Other,0
Disaster,Drought,1,6,8.652145,48.953385,2026,Other,0
Conflict,Conflict,1,6,2.48779,45.6592,2026,Other,0
Disaster,Drought,1,6,6.137011299999999,46.6258906,2026,Other,1
Disaster,Drought,1,6,4.338205,43.06956,2026,Bakool,0
Disaster,Drought,1,6,2.96448,43.244955,2026,Bay,0
Disaster,Drought,1,6,0.5909,41.78618,2026,Lower Juba,0
Disaster,Drought,1,6,9.50209,49.50765,2026,Bari,0
Disaster,Drought,1,6,2.6861757,41.441251,2026,Gedo,1
Conflict,Conflict,1,6,-0.1442449999999999,42.645165000000006,2026,Lower Juba,0
Disaster,Drought,1,6,0.419905,42.64308,2026,Middle Juba,0
Disaster,Drought,1,6,3.206,42.35912,2026,Gedo,0
Disaster,Drought,1,6,3.30914,42.69214,2026,Gedo,0
Disaster,Drought,1,6,9.93114,48.378675,2026,Sanaag,0
Disaster,Drought,1,6,3.81645,43.43285,2026,Bakool,0
Disaster,Drought,1,6,5.130155,45.88315,2026,Hiiraan,0
Disaster,Drought,1,6,11.294265,50.096695,2026,Bari,0
Disaster,Drought,1,6,10.625525,48.515795,2026,Sanaag,0
Disaster,Drought,1,6,2.81513,42.84011,2026,Bay,1
Disaster,Drought,1,6,10.14761,46.68854,2026,Sanaag,0
Disaster,Drought,1,6,7.16241,49.00102,2026,Mudug,1
Disaster,Drought,1,6,7.03917,47.22166,2026,Mudug,0
Disaster,Drought,1,6,6.904445000000001,47.326245,2026,Mudug,0
Disaster,Drought,1,6,6.76972,47.43083,2026,Mudug,1
Disaster,Drought,1,6,3.40883,42.49045,2026,Gedo,0
Disaster,Drought,1,6,3.16988745,42.2128604,2026,Other,0
Conflict,Conflict,1,6,2.99337,45.56808,2026,Other,1
Disaster,Drought,1,6,9.92793,47.92169,2026,Sanaag,0
Disaster,Drought,1,6,8.871269999999999,46.57569,2026,Other,0
Disaster,Drought,1,6,0.617785,42.421375,2026,Lower Juba,0
Disaster,Drought,1,6,9.21201,46.99878,2026,Other,0
Disaster,Drought,1,6,8.09189,49.56549,2026,Other,0
Disaster,Drought,1,6,1.49095745,42.6707504,2026,Other,0
Disaster,Drought,1,6,9.14164,47.50747,2026,Other,0
Disaster,Drought,1,6,8.796990000000001,49.53657,2026,Other,0
Disaster,Drought,1,6,8.40207,48.48284,2026,Other,0
Disaster,Drought,1,6,2.37332745,42.6297554,2026,Other,0
Disaster,Drought,1,6,1.98293745,42.1738354,2026,Other,0
Disaster,Drought,1,6,0.89444,42.26349,2026,Lower Juba,0
Disaster,Drought,1,6,9.402255,46.01186,2026,Other,0
Disaster,Drought,1,6,9.28238,46.49009,2026,Other,0
Disaster,Drought,1,6,8.796990000000001,49.53657,2026,Other,0
Disaster,Drought,1,6,8.652145,48.953385,2026,Other,0
Disaster,Drought,1,6,2.258295,44.20071,2026,Banaadir,0
Conflict,Conflict,1,6,-1.03316,41.49775,2026,Lower Juba,1
Disaster,Drought,1,6,9.50209,49.50765,2026,Bari,0
Disaster,Drought,1,6,2.5117103,41.8630909,2026,Other,0
Disaster,Drought,1,6,4.216095,43.55892,2026,Bakool,0
Disaster,Drought,1,6,4.431395,43.952275,2026,Bakool,0
Disaster,Drought,1,6,2.296275,44.71686,2026,Banaadir,0
Disaster,Drought,1,6,10.71422,48.33591,2026,Sanaag,0
Disaster,Drought,1,6,5.97081,48.20473,2026,Mudug,1
Disaster,Drought,1,6,2.99337,45.56808,2026,Other,0
Disaster,Drought,1,6,2.461155,44.133475,2026,Banaadir,0
Disaster,Drought,1,6,2.4494100000000003,45.166655,2026,Banaadir,0
Disaster,Drought,1,6,2.12264,45.27402,2026,Other,0
Disaster,Drought,1,6,4.18891,43.90622,2026,Bakool,1
Disaster,Drought,1,6,3.65137,43.77801,2026,Bay,0
Disaster,Drought,1,6,2.476615,43.980655,2026,Other,1
Disaster,Drought,1,6,0.52732,42.03326,2026,Lower Juba,1
Disaster,Drought,1,6,7.8022,48.39912,2026,Other,0
Disaster,Drought,1,6,3.4987527,46.5933382,2026,Other,0
Disaster,Drought,1,6,2.48779,45.6592,2026,Other,0
Disaster,Drought,1,6,2.40941,42.97458,2026,Bay,1
Disaster,Drought,1,6,2.48537,44.00688,2026,Bay,0
Disaster,Drought,1,6,1.109765,41.92446,2026,Lower Juba,0
Conflict,Conflict,1,6,0.617785,42.421375,2026,Lower Juba,0
Disaster,Drought,1,6,10.61616,47.36795,2026,Sanaag,0
Disaster,Drought,1,6,1.0193,41.536345,2026,Lower Juba,1
Disaster,Drought,1,6,3.80315,42.54417,2026,Gedo,0
Disaster,Drought,1,6,2.3372449,42.2849308,2026,Other,0
Disaster,Drought,1,6,6.514245,47.413385,2026,Banaadir,0
Disaster,Drought,1,6,10.602505,49.814965,2026,Bari,0
Disaster,Drought,1,6,11.19664,49.636375,2026,Bari,0
Disaster,Drought,1,6,3.90006,45.53233,2026,Hiiraan,0
Disaster,Drought,1,6,3.40329,45.61273,2026,Hiiraan,0
Disaster,Drought,1,6,4.72434,45.37964,2026,Hiiraan,0
Disaster,Drought,1,6,3.55818,42.895295,2026,Bay,0
Disaster,Drought,1,6,3.90949,42.786820000000006,2026,Gedo,0
Disaster,Drought,1,6,3.20597,42.557685000000006,2026,Bay,1
Disaster,Drought,1,6,9.74917,48.82194,2026,Sanaag,0
Conflict,Conflict,1,6,3.81645,43.43285,2026,Bakool,0
Conflict,Conflict,1,6,0.63523,42.30405,2026,Lower Juba,0
Disaster,Drought,1,6,3.43559,41.7337,2026,Gedo,1
Disaster,Drought,1,6,0.14325,42.800965000000005,2026,Middle Juba,0
Disaster,Drought,1,6,-0.1442449999999999,42.645165000000006,2026,Lower Juba,0
Disaster,Drought,1,6,8.796990000000001,49.53657,2026,Other,0
Disaster,Drought,1,6,10.602505,49.814965,2026,Bari,0
Disaster,Drought,1,6,3.90006,45.53233,2026,Hiiraan,0
Disaster,Drought,1,6,3.40329,45.61273,2026,Hiiraan,0
Disaster,Drought,1,6,4.72434,45.37964,2026,Hiiraan,0
Disaster,Drought,1,6,10.71422,48.33591,2026,Sanaag,0
Disaster,Drought,1,6,9.92793,47.92169,2026,Sanaag,0
Disaster,Drought,1,6,3.43559,41.7337,2026,Gedo,0
Disaster,Drought,1,6,3.206,42.35912,2026,Gedo,0
Conflict,Conflict,1,6,3.81645,43.43285,2026,Bakool,1
Disaster,Drought,1,6,6.137011299999999,46.6258906,2026,Other,1
Disaster,Drought,1,6,9.74917,48.82194,2026,Sanaag,0
Disaster,Drought,1,6,3.20597,42.557685000000006,2026,Bay,1
Disaster,Drought,1,6,3.24395,43.073835,2026,Bay,0
Disaster,Drought,1,6,11.19664,49.636375,2026,Bari,1
Disaster,Drought,1,6,7.10079,48.11134,2026,Mudug,0
Disaster,Drought,1,6,10.92131,49.39993,2026,Bari,0
Disaster,Drought,1,6,7.03917,47.22166,2026,Mudug,0
Disaster,Drought,1,6,6.904445000000001,47.326245,2026,Mudug,0
Disaster,Drought,1,6,6.76972,47.43083,2026,Mudug,1
Disaster,Drought,1,6,3.55818,42.895295,2026,Bay,0
Disaster,Drought,1,6,10.625525,48.515795,2026,Sanaag,0
Disaster,Drought,1,6,10.14761,46.68854,2026,Sanaag,0
Disaster,Drought,1,6,3.81645,43.43285,2026,Bakool,0
Conflict,Conflict,1,6,3.09074,46.26398,2026,Other,0
Disaster,Drought,1,6,7.482305,48.70007,2026,Other,0
Disaster,Drought,1,6,3.80315,42.54417,2026,Gedo,0
Disaster,Drought,1,6,9.50209,49.50765,2026,Bari,0
Disaster,Drought,1,6,2.48537,44.00688,2026,Bay,0
Disaster,Drought,1,6,9.50209,49.50765,2026,Other,0
Disaster,Drought,1,6,2.99337,45.56808,2026,Other,0
Conflict,Conflict,1,6,-0.1442449999999999,42.645165000000006,2026,Lower Juba,0
Disaster,Drought,1,6,-0.1442449999999999,42.645165000000006,2026,Lower Juba,0
Disaster,Drought,1,6,10.48703,49.690235,2026,Bari,1
Disaster,Drought,1,6,10.61057,49.34738,2026,Sanaag,1
Disaster,Drought,1,6,7.16241,49.00102,2026,Mudug,1
Disaster,Drought,1,6,0.5909,41.78618,2026,Lower Juba,0
Disaster,Drought,1,6,6.966065,48.215925,2026,Mudug,0
Disaster,Drought,1,6,0.419905,42.64308,2026,Middle Juba,0
Disaster,Drought,1,6,0.63523,42.30405,2026,Lower Juba,0
Disaster,Drought,1,6,3.10628,42.759375000000006,2026,Bay,0
Disaster,Drought,1,6,6.3545750000000005,46.96496,2026,Bari,0
Disaster,Drought,1,6,1.94751,44.978415,2026,Banaadir,0
Conflict,Conflict,1,6,2.12264,45.27402,2026,Other,0
Disaster,Drought,1,6,1.91156,45.09925,2026,Banaadir,0
Disaster,Drought,1,6,2.12264,45.27402,2026,Other,0
Disaster,Drought,1,6,2.4494100000000003,45.166655,2026,Banaadir,0
Disaster,Drought,1,6,2.81513,42.84011,2026,Bay,1
Disaster,Drought,1,6,2.76162,43.31219,2026,Bay,0
Disaster,Drought,1,6,7.8022,48.39912,2026,Other,0
Disaster,Drought,1,6,8.102135,48.44098,2026,Other,0
Disaster,Drought,1,6,7.482305,48.70007,2026,Other,0
Disaster,Drought,1,6,10.61616,47.36795,2026,Sanaag,0
Disaster,Drought,1,6,2.461155,44.133475,2026,Banaadir,0
Disaster,Drought,1,6,11.093095,49.104365,2026,Sanaag,0
Conflict,Conflict,1,6,0.14325,42.800965000000005,2026,Middle Juba,0
Disaster,Drought,1,6,2.40941,42.97458,2026,Bay,1
Disaster,Drought,1,6,0.3571749999999999,42.90077,2026,Lower Juba,0
Conflict,Conflict,1,6,2.48779,45.6592,2026,Other,0
Disaster,Drought,1,6,0.52732,42.03326,2026,Lower Juba,1
Disaster,Drought,1,6,3.65137,43.77801,2026,Bay,0
Disaster,Drought,1,6,10.2117,49.45379,2026,Bari,0
Disaster,Drought,1,6,10.33524,49.110935,2026,Bari,0
Disaster,Drought,1,6,3.30914,42.69214,2026,Gedo,0
Disaster,Drought,1,6,9.93114,48.378675,2026,Sanaag,0
Disaster,Drought,1,6,3.90284,42.34248,2026,Gedo,0
Disaster,Drought,1,6,2.036105,42.44288,2026,Gedo,0
Disaster,Drought,1,6,2.3372449,42.2849308,2026,Other,0
Disaster,Drought,1,6,2.258295,44.20071,2026,Banaadir,0
Disaster,Drought,1,6,3.40883,42.49045,2026,Gedo,0
Disaster,Drought,1,6,2.296275,44.71686,2026,Banaadir,0
Disaster,Drought,1,6,3.90949,42.786820000000006,2026,Gedo,0
Disaster,Drought,1,6,2.6861757,41.441251,2026,Gedo,0
Disaster,Drought,1,6,9.50209,49.50765,2026,Bari,0
Disaster,Drought,1,6,9.402255,46.01186,2026,Other,0
Disaster,Drought,1,6,9.28238,46.49009,2026,Other,0
Disaster,Drought,1,6,2.461155,44.133475,2026,Banaadir,0
Disaster,Drought,1,6,2.296275,44.71686,2026,Banaadir,0
Disaster,Drought,1,6,2.12264,45.27402,2026,Other,0
Disaster,Drought,1,6,9.52213,45.53363,2026,Other,0
Conflict,Conflict,1,6,2.4494100000000003,45.166655,2026,Banaadir,0
Disaster,Drought,1,6,2.4494100000000003,45.166655,2026,Banaadir,0
Disaster,Drought,1,6,8.102135,48.44098,2026,Other,0
Disaster,Drought,1,6,4.18891,43.90622,2026,Bakool,0
Disaster,Drought,1,6,4.431395,43.952275,2026,Bakool,0
Disaster,Drought,1,6,10.61616,47.36795,2026,Sanaag,0
Disaster,Drought,1,6,7.16241,49.00102,2026,Mudug,0
Disaster,Drought,1,6,10.92131,49.39993,2026,Bari,0
Disaster,Drought,1,6,11.19664,49.636375,2026,Bari,0
Disaster,Drought,1,6,-0.35817,42.54536,2026,Lower Juba,1
Disaster,Drought,1,6,2.99337,45.56808,2026,Other,1
Disaster,Drought,1,6,0.5909,41.78618,2026,Lower Juba,0
Disaster,Drought,1,6,3.90949,42.786820000000006,2026,Gedo,0
Disaster,Drought,1,6,3.20597,42.557685000000006,2026,Bay,0
Disaster,Drought,1,6,2.40941,42.97458,2026,Bay,1
Disaster,Drought,1,6,2.81513,42.84011,2026,Bay,1
Disaster,Drought,1,6,0.52732,42.03326,2026,Lower Juba,0
Disaster,Drought,1,6,3.80315,42.54417,2026,Gedo,0
Disaster,Drought,1,6,10.71422,48.33591,2026,Sanaag,0
Disaster,Drought,1,6,10.14761,46.68854,2026,Sanaag,0
Conflict,Conflict,1,6,4.029865,43.322235000000006,2026,Bakool,0
Disaster,Drought,1,6,7.10079,48.11134,2026,Mudug,0
Disaster,Drought,1,6,6.76972,47.43083,2026,Mudug,0
Disaster,Drought,1,6,6.904445000000001,47.326245,2026,Mudug,0
Disaster,Drought,1,6,7.03917,47.22166,2026,Mudug,0
Disaster,Drought,1,6,2.96448,43.244955,2026,Bay,0
Disaster,Drought,1,6,10.625525,48.515795,2026,Sanaag,0
Disaster,Drought,1,6,0.89444,42.26349,2026,Lower Juba,1
Conflict,Conflict,1,6,2.48779,45.6592,2026,Other,0
Disaster,Drought,1,6,3.30914,42.69214,2026,Gedo,0
Disaster,Drought,1,6,3.604265,42.249955,2026,Gedo,0
Disaster,Drought,1,6,2.94608785,41.9001855,2026,Gedo,0
Conflict,Conflict,1,6,-0.1442449999999999,42.645165000000006,2026,Lower Juba,0
Disaster,Drought,1,6,2.77162245,42.3220254,2026,Other,0
Disaster,Drought,1,6,3.010565,42.599615,2026,Gedo,0
Disaster,Drought,1,6,-0.1442449999999999,42.645165000000006,2026,Lower Juba,0
Disaster,Drought,1,6,3.206,42.35912,2026,Gedo,0
Disaster,Drought,1,6,3.43559,41.7337,2026,Gedo,0
Conflict,Conflict,1,6,3.81645,43.43285,2026,Bakool,0
Disaster,Drought,1,6,4.72434,45.37964,2026,Hiiraan,0
Disaster,Drought,1,6,3.90006,45.53233,2026,Hiiraan,0
Disaster,Drought,1,6,3.40329,45.61273,2026,Hiiraan,0
Disaster,Drought,1,6,3.80315,42.54417,2026,Gedo,0
Disaster,Drought,1,6,2.3372449,42.2849308,2026,Other,0
Conflict,Conflict,1,6,2.48779,45.6592,2026,Other,1
Disaster,Drought,1,6,-0.1442449999999999,42.645165000000006,2026,Lower Juba,0
Disaster,Drought,1,6,3.504575,42.451645,2026,Gedo,0
Disaster,Drought,1,6,3.320795,42.04641,2026,Gedo,0
Disaster,Drought,1,6,9.402255,46.01186,2026,Other,0
Conflict,Conflict,1,6,10.61616,47.36795,2026,Sanaag,0
Disaster,Drought,1,6,2.4494100000000003,45.166655,2026,Banaadir,0
Disaster,Drought,1,6,3.10628,42.759375000000006,2026,Bay,0
Disaster,Drought,1,6,4.72434,45.37964,2026,Hiiraan,0
Disaster,Drought,1,6,3.40329,45.61273,2026,Hiiraan,0
Disaster,Drought,1,6,3.55818,42.895295,2026,Bay,0
Disaster,Drought,1,6,3.90006,45.53233,2026,Hiiraan,0
Disaster,Drought,1,6,2.40941,42.97458,2026,Bay,1
Disaster,Drought,1,6,9.52213,45.53363,2026,Other,0
Disaster,Drought,1,6,0.3571749999999999,42.90077,2026,Lower Juba,0
Disaster,Drought,1,6,3.43559,41.7337,2026,Gedo,0
Disaster,Drought,1,6,3.206,42.35912,2026,Gedo,0
Disaster,Drought,1,6,0.5909,41.78618,2026,Lower Juba,1
Disaster,Drought,1,6,10.61616,47.36795,2026,Sanaag,0
Disaster,Drought,12,6,2.40941,42.97458,2025,Bay,1
Disaster,Drought,12,6,2.81513,42.84011,2025,Bay,1
Disaster,Drought,12,6,0.5909,41.78618,2025,Lower Juba,0
Disaster,Drought,12,6,9.50209,49.50765,2025,Bari,0
Disaster,Drought,12,6,8.40207,48.48284,2025,Other,0
Disaster,Drought,12,6,9.50209,49.50765,2025,Other,0
Disaster,Drought,12,6,3.80315,42.54417,2025,Gedo,0
Disaster,Drought,12,6,3.90949,42.786820000000006,2025,Gedo,0
Disaster,Drought,12,6,3.20597,42.557685000000006,2025,Bay,0
Disaster,Drought,12,6,3.30914,42.69214,2025,Gedo,0
Disaster,Drought,12,6,2.12264,45.27402,2025,Other,0
Disaster,Drought,12,6,0.54611095,42.48810855,2025,Middle Juba,0
Disaster,Drought,12,6,0.82276595,42.33022355,2025,Middle Juba,1
Disaster,Drought,12,6,9.52213,45.53363,2025,Other,0
Conflict,Conflict,12,6,-0.1442449999999999,42.645165000000006,2025,Lower Juba,0
Conflict,Conflict,12,6,0.419905,42.64308,2025,Middle Juba,0
Conflict,Conflict,12,6,0.14325,42.800965000000005,2025,Middle Juba,0
Disaster,Drought,12,6,7.10079,48.11134,2025,Mudug,0
Disaster,Drought,12,6,7.03917,47.22166,2025,Mudug,0
Disaster,Drought,12,6,7.16241,49.00102,2025,Mudug,0
Disaster,Drought,12,6,3.90006,45.53233,2025,Hiiraan,0
Disaster,Drought,12,6,4.72434,45.37964,2025,Hiiraan,0
Disaster,Drought,12,6,3.40329,45.61273,2025,Hiiraan,0
Conflict,Conflict,12,6,3.81645,43.43285,2025,Bakool,0
Disaster,Drought,12,6,3.206,42.35912,2025,Gedo,1
Disaster,Drought,12,6,6.904445000000001,47.326245,2025,Mudug,0
Disaster,Drought,12,6,1.03809095,41.99119355,2025,Other,1
Disaster,Drought,12,6,10.61616,47.36795,2025,Sanaag,0
Disaster,Drought,12,6,3.43559,41.7337,2025,Gedo,0
Disaster,Drought,12,6,2.461155,44.133475,2025,Banaadir,1
Conflict,Conflict,12,6,2.12264,45.27402,2025,Other,0
Conflict,Conflict,12,6,2.461155,44.133475,2025,Banaadir,0
Disaster,Drought,12,6,9.74917,48.82194,2025,Sanaag,0
Disaster,Drought,12,6,10.92131,49.39993,2025,Bari,0
Disaster,Drought,12,6,2.81513,42.84011,2025,Bay,1
Disaster,Drought,12,6,3.30914,42.69214,2025,Gedo,0
Disaster,Drought,12,6,10.2117,49.45379,2025,Bari,0
Disaster,Drought,12,6,10.625525,48.515795,2025,Sanaag,0
Disaster,Drought,12,6,3.16988745,42.2128604,2025,Other,0
Disaster,Drought,12,6,3.20597,42.557685000000006,2025,Bay,0
Conflict,Conflict,12,6,0.617785,42.421375,2025,Lower Juba,0
Disaster,Drought,12,6,0.82276595,42.33022355,2025,Middle Juba,1
Disaster,Drought,12,6,3.43559,41.7337,2025,Gedo,1
Disaster,Drought,12,6,1.03809095,41.99119355,2025,Other,0
Disaster,Drought,12,6,9.14164,47.50747,2025,Other,1
Disaster,Drought,12,6,8.43801,47.63642,2025,Other,1
Disaster,Drought,12,6,8.789825,47.571945,2025,Other,1
Disaster,Drought,12,6,8.991145,46.09746,2025,Other,1
Disaster,Drought,12,6,8.80411,47.541365,2025,Other,1
Disaster,Drought,12,6,8.8009,47.08438,2025,Other,1
Disaster,Drought,12,6,3.09074,46.26398,2025,Other,0
Disaster,Drought,12,6,0.89444,42.26349,2025,Lower Juba,0
Conflict,Conflict,12,6,2.461155,44.133475,2025,Banaadir,0
Disaster,Drought,12,6,2.4494100000000003,45.166655,2025,Banaadir,0
Disaster,Drought,12,6,2.12264,45.27402,2025,Other,0
Conflict,Conflict,12,6,2.12264,45.27402,2025,Other,0
Conflict,Conflict,12,6,1.08843,44.085905,2025,Banaadir,1
Disaster,Drought,12,6,8.95208,48.995245,2025,Other,0
Disaster,Drought,12,6,2.296275,44.71686,2025,Banaadir,1
Disaster,Drought,12,6,2.461155,44.133475,2025,Banaadir,1
Disaster,Drought,12,6,10.33524,49.110935,2025,Bari,0
Conflict,Conflict,12,6,-0.1442449999999999,42.645165000000006,2025,Lower Juba,0
Conflict,Conflict,12,6,2.4494100000000003,45.166655,2025,Banaadir,0
Disaster,Drought,12,6,6.904445000000001,47.326245,2025,Mudug,0
Disaster,Drought,12,6,7.10079,48.11134,2025,Mudug,0
Disaster,Drought,12,6,6.137011299999999,46.6258906,2025,Other,1
Disaster,Drought,12,6,6.76972,47.43083,2025,Mudug,0
Disaster,Drought,12,6,11.19664,49.636375,2025,Bari,0
Disaster,Drought,12,6,3.8098,42.988510000000005,2025,Gedo,0
Conflict,Conflict,12,6,0.14325,42.800965000000005,2025,Middle Juba,0
Conflict,Conflict,12,6,0.419905,42.64308,2025,Middle Juba,0
Disaster,Drought,12,6,10.53683,48.69568,2025,Sanaag,0
Conflict,Conflict,12,6,4.029865,43.322235000000006,2025,Bakool,0
Disaster,Drought,12,6,7.482305,48.70007,2025,Other,0
Disaster,Drought,12,6,9.50209,49.50765,2025,Bari,0
Disaster,Drought,12,6,9.50209,49.50765,2025,Bari,0
Disaster,Drought,12,6,8.40207,48.48284,2025,Other,1
Disaster,Drought,12,6,2.96448,43.244955,2025,Bay,0
Disaster,Drought,12,6,3.90006,45.53233,2025,Hiiraan,0
Disaster,Drought,12,6,4.72434,45.37964,2025,Hiiraan,0
Disaster,Drought,12,6,3.40329,45.61273,2025,Hiiraan,0
Disaster,Drought,12,6,7.16241,49.00102,2025,Mudug,0
Disaster,Drought,12,6,9.38976,45.2723,2025,Other,0
Disaster,Drought,12,6,9.50209,49.50765,2025,Other,0
Disaster,Drought,12,6,7.03917,47.22166,2025,Mudug,0
Disaster,Drought,12,6,0.54611095,42.48810855,2025,Middle Juba,1
Disaster,Drought,12,6,1.109765,41.92446,2025,Lower Juba,0
Disaster,Drought,12,6,3.80315,42.54417,2025,Gedo,0
Disaster,Drought,12,6,9.52213,45.53363,2025,Other,0
Disaster,Drought,12,6,10.625525,48.515795,2025,Sanaag,0
Disaster,Drought,12,6,10.71422,48.33591,2025,Sanaag,0
Disaster,Drought,12,6,2.40941,42.97458,2025,Bay,1
Disaster,Drought,12,6,2.1381,45.1212,2025,Other,1
Disaster,Drought,12,6,2.48537,44.00688,2025,Bay,0
Disaster,Drought,12,6,0.5909,41.78618,2025,Lower Juba,1
Disaster,Drought,12,6,0.63383,42.742885,2025,Middle Juba,0
Disaster,Drought,12,6,7.947044999999999,48.982305,2025,Other,0
Disaster,Drought,12,6,8.102135,48.44098,2025,Other,0
Disaster,Drought,12,6,4.18891,43.90622,2025,Bakool,0
Disaster,Drought,12,6,4.216095,43.55892,2025,Bakool,0
